path,reason,wanted_columns,rows
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ba_c4_vpd_pathway/tables/Table_PRODUCT03fw_vpd_stratified_c4_models.csv,wanted_columns_but_no_merge_key,se_hc3,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ba_c4_vpd_pathway/tables/Table_PRODUCT03fx_c4_vpd_interaction_models.csv,wanted_columns_but_no_merge_key,se_hc3,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ba_c4_vpd_pathway/tables/Table_PRODUCT03fu_c4_vpd_path_models.csv,wanted_columns_but_no_merge_key,se_hc3,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6am_raw_tower_download_ingest/tables/Table_PRODUCT03bt_raw_tower_file_inventory_after_download.csv,wanted_columns_but_no_merge_key,sites_preview;columns_preview,
/Users/me/Downloads/grassland_wue_nature_repo/results/project_final_nature_stage/metric_matrix_combo_counts_project_metric_matrix_co2corrected_FINAL3x3.csv,wanted_columns_but_no_merge_key,matrix,
/Users/me/Downloads/grassland_wue_nature_repo/results/project_final_nature_stage/metric_matrix_combo_counts_project_metric_matrix_raw_FINAL3x3.csv,wanted_columns_but_no_merge_key,matrix,
/Users/me/Downloads/grassland_wue_nature_repo/results/project_final_nature_stage/modis_qa_match_attempts.csv,wanted_columns_but_no_merge_key,matched_rows,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ay_c4_and_latent_response_deep_audit/tables/grep_latent_response_creation.csv,wanted_columns_but_no_merge_key,matched,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ay_c4_and_latent_response_deep_audit/tables/grep_product_weighting.csv,wanted_columns_but_no_merge_key,matched,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ay_c4_and_latent_response_deep_audit/tables/grep_c4_sampling_join.csv,wanted_columns_but_no_merge_key,matched,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ay_c4_and_latent_response_deep_audit/tables/target_script_deep_grep.csv,wanted_columns_but_no_merge_key,matched,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6ay_c4_and_latent_response_deep_audit/tables/grep_dropna_merge.csv,wanted_columns_but_no_merge_key,matched,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6k_parallel_reviewer_readiness/tables/Table_PRODUCT02bk_parallel_reviewer_requirement_readiness.csv,wanted_columns_but_no_merge_key,blocking_for_final_claim,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6at_trait_flux_mechanism/tables/Table_PRODUCT03dm_trait_flux_candidate_tables_ranked.csv,too_many_rows_for_point_merge,,36445.0
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6at_trait_flux_mechanism/tables/Table_PRODUCT03dl_trait_flux_column_inventory.csv,too_many_rows_for_point_merge,,36445.0
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1a_local_product_inventory/tables/Table_PRODUCT01_local_product_inventory.csv,too_many_rows_for_point_merge,,8334.0
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6x_expanded_trait_mechanism_screen/tables/Table_PRODUCT02ej_expanded_trait_environment_interaction_scan.csv,wanted_columns_but_no_merge_key,claim_strength,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6x_expanded_trait_mechanism_screen/tables/Table_PRODUCT02ei_expanded_trait_environment_effect_scan.csv,wanted_columns_but_no_merge_key,claim_strength,
/Users/me/Downloads/grassland_wue_nature_repo/results/tower_file_check/local_fluxnet2015_file_inventory.csv,wanted_columns_but_no_merge_key,has_soil_moisture,
/Users/me/Downloads/grassland_wue_nature_repo/results/tower_file_check/ameriflux_zip_member_inventory.csv,wanted_columns_but_no_merge_key,has_soil_moisture,
/Users/me/Downloads/grassland_wue_nature_repo/results/tower_file_check/ameriflux_candidate_wue_files.csv,wanted_columns_but_no_merge_key,has_soil_moisture,
/Users/me/Downloads/grassland_wue_nature_repo/results/thesis_feasibility_no_tower/trait_model_screen_co2corrected_NOT_FINAL.csv,wanted_columns_but_no_merge_key,beta_rooting_depth;beta_psi50;beta_lat_aridity,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6aj_clean_c4_model_lock/tables/Table_PRODUCT03bb_clean_c4_decision_by_response.csv,wanted_columns_but_no_merge_key,ridge_c4_coef,
/Users/me/Downloads/grassland_wue_nature_repo/results/stage1b6aj_clean_c4_model_lock/tables/Table_PRODUCT03ay_clean_c4_leave_one_block_out.csv,wanted_columns_but_no_merge_key,c4_coef_standardized,
